iter	Passed	Remaining
0	0	78
1	1	72
2	2	68
3	2	63
4	3	61
5	3	60
6	4	58
7	5	58
8	5	60
9	6	59
10	7	58
11	7	57
12	8	55
13	9	55
14	9	54
15	10	54
16	10	53
17	11	52
18	12	51
19	12	51
20	13	50
21	13	49
22	14	48
23	15	47
24	15	47
25	16	46
26	16	45
27	17	45
28	18	44
29	18	43
30	19	42
31	19	42
32	20	41
33	21	41
34	21	40
35	22	40
36	23	39
37	23	39
38	24	38
39	25	37
40	25	37
41	26	36
42	26	35
43	27	34
44	28	34
45	28	33
46	29	32
47	29	32
48	30	31
49	30	30
50	31	30
51	32	29
52	32	29
53	33	28
54	33	27
55	34	27
56	35	26
57	35	25
58	36	25
59	37	24
60	37	24
61	38	23
62	39	23
63	39	22
64	40	21
65	41	21
66	41	20
67	42	19
68	42	19
69	43	18
70	44	18
71	44	17
72	45	16
73	46	16
74	46	15
75	47	14
76	47	14
77	48	13
78	49	13
79	49	12
80	50	11
81	51	11
82	51	10
83	52	9
84	53	9
85	54	8
86	55	8
87	55	7
88	56	6
89	57	6
90	58	5
91	58	5
92	59	4
93	60	3
94	61	3
95	61	2
96	62	1
97	63	1
98	64	0
99	64	0
